Player,KilledBy,Weapon,Distance,Storm Phase,Timestamp,Match,Placed,Kills
Villex,Pr0vokd,Rifle,,2,10:07,1,80,0
Pow3r,Aydan,Shotgun,,2,9:54,1,81,1
Saf,Domentos,Shotgun,,2,9:04,1,82,0
Fwexy,Povity,StinkGrenade,,2,8:35,1,83,0
Vato,Jamside,Snipe,108,2,8:35,1,84,0
x2Jordan,Seth,Rifle,,2,8:28,1,85,0
Magin,Zyppaan,Sniper,38,1,7:19,1,86,0
Hunter,Envy,SMG,,1,6:11,1,87,0
Crippa,Myth,StinkGrenade,,1,5:49,1,88,0
Windwalker,Pow3r,Shotgun,,1,5:45,1,89,0
Aspect,Bloodx,Rifle,,1,4:45,1,90,0
Mirwana,Khuna,Shotgun,,1,4:20,1,91,0
Lolito,x8,Shotgun,,1,4:12,1,92,0
Taiovsky,,Self,,1,3:17,1,93,0
Mushway,Envy,Shotgun,,1,2:50,1,94,0
Eryc,DMO,Shotgun,,1,2:32,1,95,0
Tschinken,Nate,Shotgun,,1,2:17,1,96,0
Jarl,Sinooh,Shotgun,,0,1:32,1,97,0
Julez,Aimhero_o,Shotgun,,0,1:29,1,98,0
M11Z,Seth,Rifle,,0,1:00,1,99,0
Xlsma,,DQ,,,0:00,1,100,0
Kinstaar,,,,8,,2,1,5
Zexrow,Kinstaar,Shotgun,,8,22:22,2,2,3
Hoopek,Zexrow,Shotgun,,8,22:12,2,3,3
Razzzero0o,Hoopek,Shotgun,,8,22:12,2,4,5
Julez,,FallDamage,,7,21:26,2,5,1
Funkbomb,,Storm,,7,21:26,2,6,2
Itemm,,FallDamage,22,7,21:25,2,7,2
Blaxou,Razzzero0o,Shotgun,,7,21:24,2,8,2
Airwaks,,Storm,,7,21:12,2,9,2
Beehive,Kinstaar,Shotgun,,7,21:09,2,10,1
Nikof,Blaxou,Shotgun,,7,21:06,2,11,1
Tschinken,Kinstaar,Smg,,7,21:05,2,12,1
Bizzle,,FallDamage,21,7,21:04,2,13,0
Sk1x,Zexrow,Shotgun,,7,21:02,2,14,2
Domentos,Sk1x,Shotgun,,7,21:02,2,15,2
Kamo,Funkbomb,Shotgun,,7,21:02,2,16,1
TheVic,Hoopek,Shotgun,,7,20:58,2,17,0
Bloodx,Razzzero0o,Shotgun,,7,20:56,2,18,2
K1nzell,Sk1x,Smg,,7,20:55,2,19,1
Hunter,,FallDamage,13,7,20:50,2,20,1
Motor,Tschinken,Splode,,7,20:49,2,21,2
Andeeza,Motor,Shotgun,,6,20:41,2,22,2
Vato,Hunter,Smg,,6,20:40,2,23,2
Teeqzy,Andeeza,Shotgun,,6,20:36,2,24,1
Mirwana,,Storm,,6,20:33,2,25,1
Taiovsky,Bloodx,Shotgun,,6,20:25,2,26,1
Issa,Itemm,Smg,,6,20:19,2,27,2
Jamside,Itemm,Smg,,6,20:15,2,28,2
Kejser,Airwaks,Rifle,,6,20:05,2,29,2
Zeek,,Storm,,6,20:01,2,30,3
Skram,Kejser,Shotgun,,6,19:56,2,31,0
x2Jordan,Kamo,Rifle,,6,19:56,2,32,2
Ares,Zeek,Shotgun,,6,19:54,2,33,2
M11Z,Bloodx,Shotgun,,6,19:52,2,34,1
Tommo,Issa,Smg,,6,19:38,2,35,3
x8,Mirwana,Smg,,6,19:28,2,36,1
Poach,Razzzero0o,Splode,,5,19:10,2,37,2
